symbol,time,assets,owner,shares,underlying,caller,tx,chain,contract,block
fcrv3crypto,1648458405,0.02024155216,0x6AA436F978f35C6d0bfa1C99b67b6F2b2ad83F52,0.02024155216,0x8e0B8c8BB9db49a46697F3a5Bb8A308e744821D2,0x6AA436F978f35C6d0bfa1C99b67b6F2b2ad83F52,0xfad583a6db18759d60f14d203b2915ef9601a57cf63eebe361d55462d2f9ba97,arbitrum,0xcF1F62c17fcd5027d6810D76697F228FE44074FD,8750697
fcrv3crypto,1648458191,0.02024155216,0x6AA436F978f35C6d0bfa1C99b67b6F2b2ad83F52,0.02024155216,0x8e0B8c8BB9db49a46697F3a5Bb8A308e744821D2,0x6AA436F978f35C6d0bfa1C99b67b6F2b2ad83F52,0x47f96666f992c11029e5caab558c8273c661124b88b820e68666c2b8701a7646,arbitrum,0xcF1F62c17fcd5027d6810D76697F228FE44074FD,8750557
fbtcCRV,1648624107,0.0007167190608,0x6AA436F978f35C6d0bfa1C99b67b6F2b2ad83F52,0.0007167190608,0x3E01dD8a5E1fb3481F0F589056b428Fc308AF0Fb,0x6AA436F978f35C6d0bfa1C99b67b6F2b2ad83F52,0x4c991000624dfd2558947c66f8427f895ba2aa8b909e7f0c51bff8675165fb6f,arbitrum,0xBB9864A9bb3341818F061Cce305aa82b0cF5B3A3,8885648
fS*USDT,1648767867,34.324506,0x6AA436F978f35C6d0bfa1C99b67b6F2b2ad83F52,34.324506,0xB6CfcF89a7B22988bfC96632aC2A9D6daB60d641,0x6AA436F978f35C6d0bfa1C99b67b6F2b2ad83F52,0x8fd5b7af221c33d6acb0ed35057c75d4d27e34918c5a2360361f6b8d7dfd9274,arbitrum,0x6d8ed5dace7C74e2d83AE09bB29d548c964EEBc5,9000124
fS*USDC,1648767773,33.323552,0x6AA436F978f35C6d0bfa1C99b67b6F2b2ad83F52,33.323552,0x892785f33CdeE22A30AEF750F285E18c18040c3e,0x6AA436F978f35C6d0bfa1C99b67b6F2b2ad83F52,0x2b567c87b26e794421a9a44d6c2dcac5341b08233da9339a98c7bd535c73c0ed,arbitrum,0xfC2640ca71B1724B89dc2714E661B0089f8c0EED,9000088
fcrv3crypto,1649281096,0.02033519965,0x8369E7900fF2359BB36eF1c40A60E5F76373A6ED,0.02033519965,0x8e0B8c8BB9db49a46697F3a5Bb8A308e744821D2,0x8369E7900fF2359BB36eF1c40A60E5F76373A6ED,0xab667812fdfdd87fa444e88c3dba842bb608522e481bb9490d6097ea70428bf2,arbitrum,0xcF1F62c17fcd5027d6810D76697F228FE44074FD,9417545
fcrv3crypto,1653014520,0.1844745737,0x7e97041D8A8A2A13Ef6EE362003F5B52E49D0e83,0.1841559573,0x8e0B8c8BB9db49a46697F3a5Bb8A308e744821D2,0x7e97041D8A8A2A13Ef6EE362003F5B52E49D0e83,0x18fe291860cba29d42dd3f06c23b2daac0498884d35a74cc1986a92197040090,arbitrum,0xcF1F62c17fcd5027d6810D76697F228FE44074FD,12524672
fcrvEURSUSD,1652977147,676.9463007,0x2D42d6bB3d18A7be35D76b599aee9D3358b22B3E,676.9463007,0x3dFe1324A0ee9d86337d06aEB829dEb4528DB9CA,0x2D42d6bB3d18A7be35D76b599aee9D3358b22B3E,0x14c11faebd9054006420d2a3d8e397331b01609e981ef76570f124a3c9a6a36b,arbitrum,0x09C29F5e64636487dD1DD851B994fa0AdE73A1bd,12497508
f2CRV,1648624107,33.81698291,0x6AA436F978f35C6d0bfa1C99b67b6F2b2ad83F52,33.81698291,0x7f90122BF0700F9E7e1F688fe926940E8839F353,0x6AA436F978f35C6d0bfa1C99b67b6F2b2ad83F52,0x77c2a8559c701b7bf82cf5d8f62651bedf6fb4219da91ed22ad62b85fe3e359a,arbitrum,0x7FEBd439C00339C377031001048B556C085f100E,8885609
f2CRV,1649280904,32.14172338,0x8369E7900fF2359BB36eF1c40A60E5F76373A6ED,32.14172338,0x7f90122BF0700F9E7e1F688fe926940E8839F353,0x8369E7900fF2359BB36eF1c40A60E5F76373A6ED,0xf54595fd839072da98acd84689c0957a519feaa4580d6ae2d051e03bd0931c8b,arbitrum,0x7FEBd439C00339C377031001048B556C085f100E,9417434
LETH,1653690595,0.01,0x2f0487f734d0141306413AE0CA6DF800aB33BF1C,0.01,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0x2f0487f734d0141306413AE0CA6DF800aB33BF1C,0xf6d8181ddcf23db6ef25f2f6ed94501c8d2cb73fde800afe74f974c9b8a4f431,arbitrum,0x5164453Aa159d3B5E683d2E8C32aAFBFA44BF273,13092063
f2CRV,1653723067,116.6264322,0x7115Da842f9Db0430D76Fa522018210f34B7f402,116.5132303,0x7f90122BF0700F9E7e1F688fe926940E8839F353,0x7115Da842f9Db0430D76Fa522018210f34B7f402,0xd34f6b4ab5d79b4bfca365cecfddcdf96c45fd516e4c628ee5a75c1ff01a495a,arbitrum,0x7FEBd439C00339C377031001048B556C085f100E,13113955
LETH,1653932578,0.1,0x900C59208f2816Ec6d6143894618F8afa1A8ED9d,0.1,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0x900C59208f2816Ec6d6143894618F8afa1A8ED9d,0xd9e7ac1575a19e553feb656c59b19329a9a40c596955cc1cd019050bba6c24f5,arbitrum,0x5164453Aa159d3B5E683d2E8C32aAFBFA44BF273,13288630
LDAI,1653946908,10,0x884ba7391637BfCE1D0B8C3aF6723477f6541e0e,9.999999707,0xDA10009cBd5D07dd0CeCc66161FC93D7c9000da1,0x884ba7391637BfCE1D0B8C3aF6723477f6541e0e,0x2b88c94cf099cea6b325c7430ba60fb180332f9e1d1ce903ed9f0be70fd6411a,arbitrum,0x487CdC7D21ac8765EFf6c0e681AEA36AE1594471,13300400
LETH,1653931349,0.2,0x72C6D2a7a10921Ec3e101472C46d69005d5bc804,0.2,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0x72C6D2a7a10921Ec3e101472C46d69005d5bc804,0xc9aa58e62aac07886cf18d2f0c6cc6f8c1cd24f39db1f814ee475eb796c3108a,arbitrum,0x5164453Aa159d3B5E683d2E8C32aAFBFA44BF273,13287754
fSLP,1654237587,0.0007369124171,0x6AA436F978f35C6d0bfa1C99b67b6F2b2ad83F52,0.0007369124171,0xaa5bD49f2162ffdC15634c87A77AC67bD51C6a6D,0x6AA436F978f35C6d0bfa1C99b67b6F2b2ad83F52,0x157ee9e71b18261d25423d022714749b394cc3fdd03de60751620b507aff59ca,arbitrum,0x49C0658d101b637E23f96b4334aECB193eD3E3d2,13585920
LDAI,1654036157,70,0x72C6D2a7a10921Ec3e101472C46d69005d5bc804,69.66982603,0xDA10009cBd5D07dd0CeCc66161FC93D7c9000da1,0x72C6D2a7a10921Ec3e101472C46d69005d5bc804,0xd973d7be3c34ef719b82e9e02bee7a565dbe883260d18d07ad85b416ac7edb0c,arbitrum,0x487CdC7D21ac8765EFf6c0e681AEA36AE1594471,13379436
LETH,1653691163,0.01,0x2f0487f734d0141306413AE0CA6DF800aB33BF1C,0.01,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0x2f0487f734d0141306413AE0CA6DF800aB33BF1C,0x82658142d2359aaa1e1106123b93cc70e063598f1416dd0b1fd0434f306afb78,arbitrum,0x5164453Aa159d3B5E683d2E8C32aAFBFA44BF273,13092340
LETH,1653932862,0.02,0x900C59208f2816Ec6d6143894618F8afa1A8ED9d,0.02,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0x900C59208f2816Ec6d6143894618F8afa1A8ED9d,0x6c99f049f366d58c2b0a4280d9f5a6e6c236726db5e0dd9e3ec33011e7ab2888,arbitrum,0x5164453Aa159d3B5E683d2E8C32aAFBFA44BF273,13288863
fcrv3crypto,1653467179,0.03630501083,0x92326340acF0A75CF520A2DD1Df8516caD98e7c2,0.03624230642,0x8e0B8c8BB9db49a46697F3a5Bb8A308e744821D2,0x92326340acF0A75CF520A2DD1Df8516caD98e7c2,0xeedc489a5ba6577c6c43b9552f02c16e7bb0c972ba90e003a6d56fa398545a3f,arbitrum,0xcF1F62c17fcd5027d6810D76697F228FE44074FD,12914081
f2CRV,1654915404,19.82438548,0x38430336153468dcf36Af5cea7D6bc472425633A,19.80514319,0x7f90122BF0700F9E7e1F688fe926940E8839F353,0x38430336153468dcf36Af5cea7D6bc472425633A,0xcea898366f6e04dfeef71517aa5565c279a5ed57a3e3c5d545ce46ce0234727a,arbitrum,0x7FEBd439C00339C377031001048B556C085f100E,14271761
LDAI,1654535502,5,0x900C59208f2816Ec6d6143894618F8afa1A8ED9d,4.94832562,0xDA10009cBd5D07dd0CeCc66161FC93D7c9000da1,0x900C59208f2816Ec6d6143894618F8afa1A8ED9d,0xcf741236678e86168e41c1e6e6ec6735a5d6883cfe9daa2fe4c84bf30bdcf9e4,arbitrum,0x487CdC7D21ac8765EFf6c0e681AEA36AE1594471,13894729
fSLP,1654237320,0.0383674199,0x6AA436F978f35C6d0bfa1C99b67b6F2b2ad83F52,0.0383674199,0x692a0B300366D1042679397e40f3d2cb4b8F7D30,0x6AA436F978f35C6d0bfa1C99b67b6F2b2ad83F52,0xf5db75d27d6a81450a89795ec960dabeed00d7b4d739f7b96e52ffefeb6d1ac0,arbitrum,0xc6f4A360732a53Cec7b7f2eF82F9DB34dF3593A7,13585699
fS*USDC,1654721023,39.943716,0x9e08ACB540F5d1e0d2E1816E938c8593fd1060Ee,39.862254,0x892785f33CdeE22A30AEF750F285E18c18040c3e,0x9e08ACB540F5d1e0d2E1816E938c8593fd1060Ee,0x61369aacd90a88936ed237c6563fa14ffe3a6e0d5fdeea85a4b512f18468e875,arbitrum,0xfC2640ca71B1724B89dc2714E661B0089f8c0EED,14099087
fSLP,1654546425,1.86998142,0x92326340acF0A75CF520A2DD1Df8516caD98e7c2,1.869916507,0xB7E50106A5bd3Cf21AF210A755F9C8740890A8c9,0x92326340acF0A75CF520A2DD1Df8516caD98e7c2,0x464986b86777d26445e823a55679ab0d8f64c7147971878ffb6154df64cc6434,arbitrum,0x358cDb55B3bc792d51190Cf4D3B6C8ABa450f863,13906299
fcrv3crypto,1652980282,0.07505618304,0xcF10A8E7c907144cc87721aC1fD7Ac75a8aebeC7,0.07504002468,0x8e0B8c8BB9db49a46697F3a5Bb8A308e744821D2,0xcF10A8E7c907144cc87721aC1fD7Ac75a8aebeC7,0xcdd5d1632b064cc750d43ce7d057cc4555d25c8fe4d7a99fa09fd0e5d7f7f5dd,arbitrum,0xcF1F62c17fcd5027d6810D76697F228FE44074FD,12500272
fSLP,1654237829,0.040431276,0x6AA436F978f35C6d0bfa1C99b67b6F2b2ad83F52,0.040431276,0xb6DD51D5425861C808Fd60827Ab6CFBfFE604959,0x6AA436F978f35C6d0bfa1C99b67b6F2b2ad83F52,0x02d587a421b28a62a694607ba24696cd930b56cb5dba2feb9ccf5e7b02c02b08,arbitrum,0x53130D60c57D392afAf724239D53Cab9e313c9b7,13586177
fSLP,1654929170,0.6002328816,0x80cFfdCA4d7E05Eb25e703A183E98C7a4094EeC0,0.5994792644,0xB7E50106A5bd3Cf21AF210A755F9C8740890A8c9,0x80cFfdCA4d7E05Eb25e703A183E98C7a4094EeC0,0x57fa5a34b963f5f87d86288fcebddc46bb3908726afcc368fff2277561b52313,arbitrum,0x358cDb55B3bc792d51190Cf4D3B6C8ABa450f863,14283128
